1 1:84 2:80 3:51 4:39 5:43 6:16 7:33 8:38 9:41 10:46 11:25 12:0 13:24 14:19 15:19 16:35 17:35 18:61 19:72 20:72 21:50 22:37 23:32 24:19 25:24 26:19 27:16 28:30 29:27 30:30 31:8 32:16 ;
1 1:51 2:50 3:30 4:30 5:32 6:24 7:24 8:33 9:0 10:19 11:8 12:19 13:19 14:30 15:46 16:19 17:0 18:0 19:0 20:8 21:30 22:0 23:0 24:0 25:0 26:8 27:0 28:8 29:0 30:0 31:8 32:0 ;
1 1:83 2:79 3:46 4:24 5:43 6:30 7:19 8:47 9:33 10:40 11:8 12:35 13:0 14:27 15:30 16:8 17:38 18:61 19:73 20:70 21:53 22:33 23:16 24:16 25:8 26:0 27:8 28:27 29:19 30:25 31:0 32:0 ;
1 1:73 2:61 3:37 4:46 5:33 6:43 7:19 8:35 9:8 10:19 11:0 12:19 13:24 14:46 15:50 16:35 17:8 18:16 19:19 20:48 21:43 22:0 23:0 24:16 25:16 26:0 27:8 28:16 29:0 30:8 31:8 32:8 ;
1 1:57 2:56 3:47 4:19 5:32 6:19 7:30 8:16 9:0 10:8 11:8 12:27 13:27 14:16 15:25 16:47 17:35 18:27 19:39 20:41 21:24 22:0 23:0 24:24 25:0 26:16 27:19 28:19 29:0 30:19 31:8 32:0 ;
1 1:79 2:70 3:41 4:35 5:19 6:27 7:33 8:33 9:19 10:19 11:37 12:16 13:19 14:43 15:8 16:19 17:51 18:30 19:61 20:59 21:55 22:38 23:27 24:27 25:8 26:19 27:16 28:0 29:8 30:0 31:19 32:8 ;
1 1:67 2:58 3:43 4:19 5:35 6:30 7:16 8:30 9:0 10:33 11:19 12:30 13:30 14:32 15:19 16:30 17:24 18:38 19:42 20:45 21:39 22:32 23:32 24:25 25:0 26:27 27:27 28:8 29:24 30:0 31:19 32:0 ;
1 1:78 2:67 3:30 4:30 5:41 6:16 7:16 8:8 9:0 10:19 11:19 12:27 13:16 14:19 15:19 16:8 17:0 18:0 19:16 20:37 21:35 22:0 23:8 24:0 25:0 26:8 27:8 28:8 29:0 30:0 31:19 32:0 ;
1 1:59 2:54 3:30 4:25 5:27 6:27 7:25 8:27 9:8 10:24 11:24 12:0 13:0 14:16 15:16 16:33 17:19 18:35 19:8 20:33 21:40 22:25 23:0 24:8 25:19 26:0 27:8 28:8 29:0 30:0 31:8 32:8 ;
1 1:64 2:59 3:35 4:30 5:19 6:35 7:27 8:19 9:0 10:8 11:0 12:19 13:8 14:8 15:30 16:19 17:0 18:0 19:0 20:25 21:0 22:0 23:8 24:0 25:0 26:8 27:8 28:19 29:8 30:0 31:8 32:0 ;
1 1:67 2:58 3:35 4:38 5:0 6:30 7:27 8:27 9:0 10:8 11:0 12:19 13:8 14:24 15:42 16:30 17:0 18:0 19:0 20:24 21:16 22:0 23:8 24:0 25:0 26:0 27:8 28:0 29:0 30:0 31:8 32:0 ;
1 1:81 2:70 3:43 4:19 5:30 6:8 7:33 8:25 9:0 10:33 11:35 12:24 13:33 14:25 15:40 16:0 17:25 18:48 19:65 20:71 21:44 22:16 23:16 24:16 25:8 26:0 27:24 28:19 29:24 30:0 31:0 32:19 ;
1 1:77 2:73 3:32 4:47 5:30 6:38 7:46 8:27 9:19 10:27 11:8 12:39 13:19 14:39 15:19 16:16 17:35 18:35 19:51 20:54 21:30 22:30 23:0 24:19 25:16 26:19 27:16 28:0 29:8 30:0 31:16 32:19 ;
